        Top 100 Words by Frequency         
            Target: 'president'            
               Rank: #5,463                
                Count: 569                 
┏━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━┓
┃ Rank ┃ Word                    ┃  Count ┃
┡━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━┩
│    1 │ scholarlyeditionstm     │ 78,195 │
│    2 │ fly                     │ 45,207 │
│    3 │ scholarlypaper          │ 32,173 │
│    4 │ clpost                  │ 28,291 │
│    5 │ cltrial                 │ 28,051 │
│    6 │ pobsp                   │ 27,165 │
│    7 │ delinqnt                │ 27,102 │
│    8 │ workcomp                │ 26,226 │
│    9 │ ddjbo                   │ 26,069 │
│   10 │ cosponsor               │ 24,618 │
│   11 │ arcrp                   │ 23,598 │
│   12 │ clcadm                  │ 23,393 │
│   13 │ insurcont               │ 21,847 │
│   14 │ frcvp                   │ 21,266 │
│   15 │ warrisden               │ 16,374 │
│   16 │ gameknight              │ 16,076 │
│   17 │ camai                   │ 16,047 │
│   18 │ vinctalin               │ 14,391 │
│   19 │ name                    │ 13,420 │
│   20 │ scholarlybrief          │ 12,919 │
│   21 │ constandy               │ 12,636 │
│   22 │ chitdn                  │ 12,592 │
│   23 │ toranaga                │ 12,397 │
│   24 │ cowbelles               │ 12,308 │
│   25 │ wileyblackwell          │ 12,282 │
│   26 │ rwema                   │ 12,166 │
│   27 │ erradeen                │ 12,095 │
│   28 │ brand                   │ 11,928 │
│   29 │ grassley                │ 11,650 │
│   30 │ schumer                 │ 11,553 │
│   31 │ publicoff               │ 10,527 │
│   32 │ murkowski               │ 10,337 │
│   33 │ landrieu                │ 10,254 │
│   34 │ clanwaring              │ 10,213 │
│   35 │ mikulski                │ 10,133 │
│   36 │ hawermann               │ 10,063 │
│   37 │ rfpsa                   │ 10,018 │
│   38 │ phonny                  │  9,880 │
│   39 │ hactcin                 │  9,736 │
│   40 │ scholarlyeditionsm      │  9,625 │
│   41 │ fished                  │  9,603 │
│   42 │ appfabric               │  9,596 │
│   43 │ falls                   │  9,478 │
│   44 │ emergence               │  9,434 │
│   45 │ hoopdriver              │  9,406 │
│   46 │ lepeters                │  9,358 │
│   47 │ neshdanof               │  9,054 │
│   48 │ nekhlyiidov             │  8,996 │
│   49 │ spanishtranslation      │  8,977 │
│   50 │ clcprp                  │  8,786 │
│   51 │ gwalchmei               │  8,754 │
│   52 │ chauxville              │  8,698 │
│   53 │ savdue                  │  8,544 │
│   54 │ njper                   │  8,535 │
│   55 │ underreamer             │  8,485 │
│   56 │ zalof                   │  8,286 │
│   57 │ skshetuski              │  8,278 │
│   58 │ teihchungyu             │  8,203 │
│   59 │ spanjolle               │  8,156 │
│   60 │ holandeze               │  8,156 │
│   61 │ stabenow                │  8,013 │
│   62 │ airworthiness           │  7,921 │
│   63 │ pendlex                 │  7,776 │
│   64 │ ollivera                │  7,724 │
│   65 │ kotikokura              │  7,705 │
│   66 │ dewine                  │  7,670 │
│   67 │ drainage                │  7,650 │
│   68 │ gps                     │  7,566 │
│   69 │ milepost                │  7,558 │
│   70 │ duns                    │  7,555 │
│   71 │ ortenegg                │  7,525 │
│   72 │ uklpr                   │  7,518 │
│   73 │ flottenrichter          │  7,516 │
│   74 │ scholarlynews           │  7,412 │
│   75 │ sunlocks                │  7,406 │
│   76 │ and                     │  7,286 │
│   77 │ kozachenko              │  7,282 │
│   78 │ filesize                │  7,213 │
│   79 │ the                     │  7,153 │
│   80 │ hallblithe              │  7,100 │
│   81 │ dainopoulos             │  7,091 │
│   82 │ partnerlishments        │  6,932 │
│   83 │ medidss                 │  6,880 │
│   84 │ conporns                │  6,816 │
│   85 │ feinstein               │  6,771 │
│   86 │ a                       │  6,620 │
│   87 │ schnoerr                │  6,604 │
│   88 │ pentetrazole            │  6,571 │
│   89 │ scholarlypapertm        │  6,520 │
│   90 │ engagedinadministrative │  6,512 │
│   91 │ tryckt                  │  6,493 │
│   92 │ petticate               │  6,465 │
│   93 │ pmha                    │  6,465 │
│   94 │ zehowah                 │  6,440 │
│   95 │ hussyn                  │  6,310 │
│   96 │ leahy                   │  6,299 │
│   97 │ popsci                  │  6,296 │
│   98 │ gualinto                │  6,255 │
│   99 │ wolhaupter              │  6,250 │
│  100 │ inoustrialisation       │  6,141 │
└──────┴─────────────────────────┴────────┘
