            Word Velocity Comparison (1960-1970 vs 1995-2005)            
            Surging Words                        Fading Words            
 ┏━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┓  ┏━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┓ 
 ┃ Word               ┃      Change ┃  ┃ Word                ┃  Change ┃ 
 ┡━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━┩  ┡━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━┩ 
 │ ldap               │ +222652.78% │  │ kidcare             │ -98.78% │ 
 │ sql                │ +186438.95% │  │ yersiniabactin      │ -98.73% │ 
 │ to                 │ +176631.04% │  │ looksmart           │ -98.09% │ 
 │ imageobserver      │ +150602.35% │  │ poorvajanma         │ -97.95% │ 
 │ nusap              │ +122687.52% │  │ madcam              │ -97.49% │ 
 │ surveyselect       │  +79212.06% │  │ itsmf               │ -97.44% │ 
 │ pga                │  +60445.00% │  │ webtool             │ -97.05% │ 
 │ aboutme            │  +52900.45% │  │ metagoverning       │ -96.96% │ 
 │ log                │  +52900.45% │  │ bills               │ -96.96% │ 
 │ valuebinding       │  +52334.61% │  │ commonkads          │ -96.96% │ 
 │ prednisolone       │  +50825.70% │  │ poskiparta          │ -96.91% │ 
 │ softec             │  +49128.18% │  │ cropwat             │ -96.75% │ 
 │ window             │  +48656.64% │  │ canedit             │ -96.72% │ 
 │ dlgital            │  +44035.61% │  │ prpres              │ -96.51% │ 
 │ import             │  +41206.40% │  │ gameplay            │ -96.44% │ 
 │ asm                │  +39886.11% │  │ telecom             │ -96.37% │ 
 │ worldhotels        │  +37434.13% │  │ diverences          │ -96.37% │ 
 │ methylprednisolone │  +36491.06% │  │ autoinflammatory    │ -96.37% │ 
 │ onblur             │  +35736.60% │  │ scorsolini          │ -96.37% │ 
 │ whowhowhowhowho    │  +35547.99% │  │ pgrfa               │ -96.37% │ 
 │ fuseaction         │  +35547.99% │  │ workarounds         │ -96.37% │ 
 │ mpi                │  +35359.38% │  │ otherhealthservices │ -96.34% │ 
 │ check              │  +34604.92% │  │ scjd                │ -96.03% │ 
 │ neurabin           │  +34322.00% │  │ swrlb               │ -95.61% │ 
 │ bna                │  +31964.33% │  │ cybershop           │ -95.55% │ 
 │ as                 │  +31775.72% │  │ diycult             │ -95.40% │ 
 │ password           │  +30644.03% │  │ muavs               │ -95.12% │ 
 │ active             │  +30644.03% │  │ lentivector         │ -94.76% │ 
 │ xml                │  +29700.97% │  │ solventreducible    │ -93.92% │ 
 │ vesicare           │  +29135.12% │  │ cyberfeminist       │ -93.92% │ 
 │ cim                │  +28380.67% │  │ devotchka           │ -93.71% │ 
 │ yondelis           │  +28286.36% │  │ inyenzi             │ -93.71% │ 
 │ keadilan           │  +27909.14% │  │ infosite            │ -93.66% │ 
 │ eurofile           │  +27626.21% │  │ decitabine          │ -93.42% │ 
 │ macapagalarroyo    │  +27437.60% │  │ agnp                │ -93.38% │ 
 │ num                │  +25928.69% │  │ intvar              │ -93.38% │ 
 │ flashback          │  +25740.08% │  │ aphc                │ -93.26% │ 
 │ tmae               │  +25362.85% │  │ phytoextraction     │ -93.20% │ 
 │ questionid         │  +25079.93% │  │ majestrix           │ -93.01% │ 
 │ foliofn            │  +25079.93% │  │ phytostabilization  │ -92.75% │ 
 │ dba                │  +24947.90% │  │ abhrs               │ -92.46% │ 
 │ eval               │  +24419.78% │  │ sertraline          │ -92.25% │ 
 │ numeric            │  +24419.78% │  │ pharmtech           │ -91.43% │ 
 │ cursor             │  +23476.71% │  │ infographic         │ -90.75% │ 
 │ server             │  +22533.64% │  │ phytomining         │ -90.57% │ 
 │ workbook           │  +21967.80% │  │ businessobjects     │ -87.83% │ 
 │ cliffsnotes        │  +21401.96% │  │ venlafaxine         │ -87.83% │ 
 │ db                 │  +21357.05% │  │ maxsat              │ -87.21% │ 
 │ drinc              │  +21024.73% │  │ computer            │ -85.35% │ 
 │ nonsimple          │  +20647.51% │  │ problem             │ -85.30% │ 
 └────────────────────┴─────────────┘  └─────────────────────┴─────────┘ 
