   Word Velocity Comparison (1990-1994 vs 2005-2009)   
        Surging Words               Fading Words       
 ┏━━━━━━━━━━━━━━┳━━━━━━━━━━━┓  ┏━━━━━━━━━━━┳━━━━━━━━━┓ 
 ┃ Word         ┃    Change ┃  ┃ Word      ┃  Change ┃ 
 ┡━━━━━━━━━━━━━━╇━━━━━━━━━━━┩  ┡━━━━━━━━━━━╇━━━━━━━━━┩ 
 │ objectives   │ +5578.26% │  │ sql       │ -97.33% │ 
 │ parallel     │ +2587.93% │  │ e         │ -96.75% │ 
 │ introduction │ +1470.68% │  │ disorders │ -96.74% │ 
 │ app          │ +1400.08% │  │ id        │ -90.52% │ 
 │ page         │ +1092.50% │  │ gl        │ -83.68% │ 
 │ data         │ +1056.68% │  │ m         │ -79.57% │ 
 │ learning     │  +943.44% │  │ service   │ -76.43% │ 
 │ action       │  +900.51% │  │ set       │ -75.55% │ 
 │ database     │  +849.07% │  │ create    │ -69.63% │ 
 │ post         │  +676.51% │  │ dbms      │ -67.00% │ 
 │ ethical      │  +603.72% │  │ domain    │ -62.31% │ 
 │ category     │  +565.58% │  │ user      │ -61.05% │ 
 │ global       │  +550.90% │  │ hescs     │ -56.86% │ 
 │ find         │  +550.33% │  │ search    │ -56.86% │ 
 │ avg          │  +513.04% │  │ help      │ -54.77% │ 
 │ is           │  +510.12% │  │ key       │ -48.80% │ 
 │ map          │  +506.65% │  │ research  │ -46.83% │ 
 │ content      │  +473.14% │  │ sp        │ -45.70% │ 
 │ all          │  +404.73% │  │ default   │ -45.03% │ 
 │ text         │  +395.03% │  │ node      │ -38.04% │ 
 └──────────────┴───────────┘  └───────────┴─────────┘ 
