       Word Velocity Comparison (1990-1994 vs 2005-2009)        
            Surging Words                   Fading Words        
 ┏━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┓  ┏━━━━━━━━━━━━━┳━━━━━━━━━┓ 
 ┃ Word              ┃      Change ┃  ┃ Word        ┃  Change ┃ 
 ┡━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━┩  ┡━━━━━━━━━━━━━╇━━━━━━━━━┩ 
 │ draenei           │ +105894.22% │  │ groups      │ -99.62% │ 
 │ spacejock         │ +101623.39% │  │ movie       │ -99.02% │ 
 │ leafpool          │  +66510.38% │  │ character   │ -98.15% │ 
 │ hdinner           │  +56391.43% │  │ order       │ -98.02% │ 
 │ bluetec           │  +43384.81% │  │ tablelayout │ -98.02% │ 
 │ mod               │  +34260.76% │  │ semeval     │ -97.77% │ 
 │ ngrl              │  +28631.03% │  │ start       │ -97.57% │ 
 │ volutpat          │  +26689.75% │  │ sql         │ -97.33% │ 
 │ wp                │  +24845.53% │  │ customer    │ -97.10% │ 
 │ frascatimanual    │  +20671.76% │  │ lifelog     │ -96.97% │ 
 │ arcadiapublishing │  +20167.03% │  │ e           │ -96.75% │ 
 │ mysql             │  +19895.25% │  │ disorders   │ -96.74% │ 
 │ dlpfc             │  +17371.58% │  │ cmdstart    │ -94.61% │ 
 │ template          │  +16983.32% │  │ userinfo    │ -94.45% │ 
 │ mvqca             │  +15139.10% │  │ america     │ -93.74% │ 
 │ cc                │  +14265.52% │  │ id          │ -90.52% │ 
 │ acknowledgments   │  +14071.39% │  │ print       │ -89.36% │ 
 │ appendix          │  +13974.32% │  │ my          │ -88.80% │ 
 │ middleware        │  +13489.00% │  │ cgview      │ -88.29% │ 
 │ reading           │  +13489.00% │  │ winre       │ -88.23% │ 
 └───────────────────┴─────────────┘  └─────────────┴─────────┘ 
